SCORE_RESULT_NNN,ASSESSMENT_TITLE,ASSESSMENT_VERSION,ASSESSMENT_GRADE_LEVEL_ASSESSED,ACADEMIC_SUBJECT,OBJECTIVE_ASSESSMENT_IDENTIFICATION_CODE,ASSESSMENT_REPORTING_METHOD
'SCORE-RESULT-001','6th Grade Science - 1st 9 Weeks 2016 - 2017','2016','Sixth grade','Science','','Raw score'
'SCORE-RESULT-002','6th Grade Science - 1st 9 Weeks 2016 - 2017','2016','Sixth grade','Science','','Number score'
