ASSESSMENT_TITLE,ASSESSMENT_IDENTIFICATION_SYSTEM,ASSESSMENT_IDENTIFICATION_CODE,ASSESSMENT_CATEGORY,ACADEMIC_SUBJECT,ASSESSMENT_GRADE_LEVEL_ASSESSED,ASSESSMENT_CONTENT_STANDARD,ASSESSMENT_VERSION,ASSESSMENT_REVISION_DATE,MAX_RAW_SCORE,PERFORMANCE_LEVEL_DESCRIPTOR_DESCRIPTION,ASSESSMENT_REPORTING_METHOD,PERFORMANCE_LEVEL_MIN_SCORE,PERFORMANCE_LEVEL_MAX_SCORE
'6th Grade Science - 1st 9 Weeks 2016 - 2017','Test Contractor','12302','Benchmark test','Science','Sixth grade','Texas Essential Knowledge and Skills','2016','2016-09-01 00:00:01','15','Satisfactory','Number score','70','90'
'6th Grade Science - 1st 9 Weeks 2016 - 2017','Test Contractor','12302','Benchmark test','Science','Sixth grade','Texas Essential Knowledge and Skills','2016','2016-09-01 00:00:01','15','Advanced','Number score','90','100'
